Game Name,Platform,Region,Game,Manual/Inserts,Artwork/Box,Extras,Notes
Professor Layton and the Miracle Mask,3DS,PAL-AU,A+,A-,A+,,
Pokemon Rumble World,3DS,PAL-AU,A+,N/A,A+,,
Pokemon Omega Ruby,3DS,PAL-AU,A+,N/A,A+,,
Pokemon Alpha Sapphire,3DS,PAL-AU,A+,N/A,A+,,
Pokemon Y,3DS,PAL-AU,A+,A+,A+,,
Pokemon Y,3DS,NTSC-UC,A,M,M,,
Pokemon X,3DS,PAL-AU,A+,A+,A+,,
Paper Mario Sticker Star,3DS,PAL-AU,A+,M,A-,,
New Super Mario Bros. 2,3DS,PAL-AU,A+,A,A+,,
New Yoshi's Island,3DS,PAL-AU,A+,N/A,A+,,
WarioWare Gold,3DS,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Super Pokemon Rumble,3DS,PAL-AU,A+,N/A,C,,
Super Smash Bros. For Nintendo 3DS,3DS,PAL-AU,A+,A+,A+,,
Super Mario 3D Land,3DS,PAL-AU,A+,A+,A+,,“Nintendo Selects” Version
Puzzle & Dragons Super Mario Bros. Edition,3DS,PAL-EU,A+,N/A,A+,,
Kirby battle Royale,3DS,PAL-AU,A+,N/A,A+,,
Mario Tennis Open,3DS,PAL-AU,A+,A+,A+,,
Mario Party Star Rush,3DS,PAL-AU,A+,N/A,A+,,
Mario Kart 7,3DS,PAL-AU,A+,A+,A+,,
Mario and Sonic at the London 2012 Olympic Games,3DS,NTSC-UC,A+,A+,B,,
Mario & Luigi Dream Team,3DS,NTSC-UC,A+,A+,A+,,
Luigi's Mansion 2,3DS,PAL-AU,A+,N/A,A+,,“Nintendo Selects” Version
Luigi's Mansion,3DS,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
The Legend of Zelda Triforce Heroes,3DS,PAL-AU,A+,N/A,A+,,
The Legend of Zelda A Link Between Worlds,3DS,PAL-AU,A+,N/A,A+,,
The Legend of Zelda Majora's Mask 3D,3DS,PAL-AU,A+,N/A,A+,,
The Legend of Zelda Ocarina of Time 3D,3DS,PAL-AU,A+,B,A+,,
Kirby Triple Deluxe,3DS,PAL-AU,A+,N/A,A+,,
Hyrule Warriors Legends,3DS,PAL-AU,A+,A,A+,Includes DLC Download code for Wii U version (unused),“Not for resale” edition
Donkey Kong Country Returns 3D,3DS,PAL-EU,A+,N/A,A+,,
Detective Pikachu,3DS,PAL-EU,A+,N/A,A+,,"Cartridge is PAL-EU, Box is PAL-AU"
Bravely Second: End Layer,3DS,PAL-AU,A+,N/A,A+,,
Yoshi's Island DS,DS,PAL-AU,A+,A+,A+,,
New Super Mario Bros.,DS,PAL-AU,A+,B,A+,,"Manual edges rolling, Manual has a few creases"
